"Time","6F0000005AC0A021","770000005ABF6721","E30000005AB58721","F40000005AB81A21","D30000005A9CEC21","4C0000005AA23021","DB0000005AC5EE21","AD0000005ACBA621","6B0000005ABF9521","870000005AB6F121","0B0000005AB9B821","240000005AB4D821","500000005AA7BF21","F30000005AB06221","BD0000005AAC6C21","C90000005AA00521","0A0000005AA34E21","B60000005ACBE421","820000005ACA6A21","4D0000005AA5FA21","9F0000005AC1FE21","1E0000005AB89A21","250000005A9D8721","D60000005AAFE621","B30000005ABFB721*","B60000005AA47E21","920000005AA22721","0F0000005AAD7321","E90000005ABA5F21","510000005ACB8B21","640000005AB59321","790000005AC11421*","9F0000005ABB9021","A10000005AA12B21","F80000005AC02C21","960000005AB1A321","230000005A9DB221","1E0000005ACF4121","110000005AB1B721","5B0000005ABB4021","A80000005AC7A921","E80000005AB76F21","3D0000005AB48921","490000005AB76721","350000005ACD8021","FF0000005AA19821","530000005AC16221","2A0000005ACAAB21","180000005AAA1421","810000005AA56621","C40000005AAC4621","E60000005ABCF521","F90000005ACE3721","DA0000005AC9C721","0C0000005AAAAA21","F30000005AA2D921","BD0000005AB53421","440000005A9E5221","C90000005ACE8621","BE0000005ABB3C21*","DD0000005ACC0A21","A40000005AB8D021","5F0000005AA46821","F00000005AB92521","060000005AA9DE21","750000005AB3D821","EC0000005AC94321","F30000005ACC5A21","C30000005AAAA021","A30000005ABB4B21","A10000005ABE2521","DF0000005AC39E21","F00000005ACDD521","250000005AB77621","730000005AA99E21","EE0000005AB9C421","FB0000005AB44A21*","650000005ABA9121","0B0000005ABDDC21*","460000005AAFDA21","540000005AC80321","B60000005ABB7021","2E0000005AB59E21","6B0000005AA6CD21","A30000005ABC0421","EE0000005ABDA021","9E0000005AA07F21","780000005A9DA221","680000005ABB6721","560000005AB15521","CE0000005AA0B521","0F0000005AC1C221","940000005AAEBE21","CB0000005AB3B421","090000005AAF7421","290000005ACB2421","E60000005AA0D021","410000005AA3C621","620000005AD0C621","300000005AC7D921","390000005ABB2821","980000005AC05721","EE0000005AC19821*","380000005A9DF021","140000005AC94821","720000005AC90621","EE0000005AD00821","560000005AA1DC21","4A0000005AA54A21","CA0000005ABDAF21","940000005ACEA321","290000005AA81221","220000005ACBFE21","2A0000005ABE5B21","A70000005AA74821","AE0000005AB70821","4F0000005AC5F421","210000005ACD3E21","4F0000005AB10421","250000005AD13D21","520000005A9FE621","C40000005ACE6921","990000005AAB2C21","CC0000005AC87321","B90000005AAC4A21","120000005ABFBF21","F70000005A9DFA21","BD0000005AAA3A21","C20000005AA79021","670000005AB41C21","FB0000005AA6F121","0E0000005AA04321","E40000005ABED421","0F0000005A9FC321","4D0000005AAD3221","CC0000005ACC1721","360000005ACE3D21","890000005AA05721","BD0000005AC2EF21","2D0000005AB07521","280000005AA37421*","400000005ABD5421","050000005ACC2821","D90000005AC19921","290000005AA5A721","3B0000005ACED221","FB0000005AA4C321","A20000005AA5D921","9D0000005ABB8321","FF0000005ABE9621","D90000005AC6D621","7F0000005AA8ED21","620000005ACCE321","D70000005AC6AF21","380000005ACF5D21","550000005AAFD421","540000005ACD7E21","690000005AAA7221","C50000005AB0E621","430000005AB8BF21","4F0000005ACD3C21","100000005AAD1721","4B0000005AA39921","F40000005AA98A21","F50000005ABFD021","3E0000005AB16221","B30000005AD13421","290000005AC4A321","280000005ABF5121","A60000005ACC3321","050000005AC5F921","0B0000005AAE7E21","F00000005AA73221","450000005ACB3521","750000005AB1EA21","360000005AC97221","0C0000005AB1C021","A00000005ACE3421","540000005AB89721","390000005AB69D21","E70000005ABA2621","280000005AB90721","700000005AB98121","520000005ABCC621","390000005ACAA521","970000005AAA4C21","440000005ACBB021","A30000005AC20E21","640000005AA9B621","C60000005AA58421","760000005AB17C21","990000005AB70921","E40000005ACC7221","A20000005ABFAA21","CE0000005AA87D21","380000005A9EDB21","BE0000005AA52B21","340000005AB9F521"
2024-07-11 23:15:00,28.5,29.5,29.5,30,30,30,30,29.5,29.5,30,30,29.5,30,29.5,29,28.5,30,30,30,30,30,30,29.5,28,28.5,29.5,29,29,29,29.5,29.5,29,30,28.5,28.5,29.5,29,30,30,30,28,29.5,28,28.5,28.5,28.5,28.5,29.5,29,28,28.5,29,29,29,29.5,30,29,29,29,29,30,29,29.5,29.5,29.5,29.5,30,29.5,29.5,29.5,30,30,29,28.5,29,29.5,29,29,29,29.5,29.5,29.5,28.5,29,29.5,29,29,29,29,28.5,29.5,29,29.5,29,28,29.5,29.5,30,29,29,30,30,28.5,30,29,29,29,28,29,29.5,29.5,30,29.5,30,28.5,28.5,30,29.5,30,30,30,30.5,28,29,29,29,30,29.5,29.5,28.5,30,29.5,29.5,30,29.5,29.5,30,29.5,28,28.5,30,29.5,29,30,29.5,30,29,29,29.5,29,28.5,29.5,28.5,29,29.5,29,27.5,28.5,28,28.5,28,28.5,30,29.5,29,29.5,29.5,28,29.5,30,30,29.5,29.5,29.5,30,30,30.5,30,30,29.5,29.5,30,30,30.5,29.5,29.5,29,29.5,29,29,30,29,29,29.5,28.5,29.5,29,30
2024-07-11 23:20:00,28.5,29.5,29.5,30,30,30,30,29.5,29.5,30,30,29.5,29.5,29.5,29,28.5,30,30,30,30,30,30,29.5,28,28.5,29.5,29,29,29,29.5,29.5,29,29.5,28.5,28.5,29.5,29,30,30,30,28,29.5,28,28.5,28.5,28.5,28.5,29,29,28,28.5,29,29,29,29.5,30,29,29,28.5,28.5,30,29,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,30,29.5,29,28.5,29,29.5,29,29,29,29.5,29.5,29.5,28.5,29,29.5,29,29,28.5,29,28.5,29.5,29,29.5,28.5,28,29.5,29,29.5,29,29,30,30,28.5,29.5,29,29,29,28,29,29.5,29.5,29.5,29.5,30,28.5,28.5,30,29.5,30,30,30,30,28,29,29,29,30,29.5,29,28.5,30,29.5,29.5,30,29,29.5,30,29.5,28,28.5,30,29.5,29,29.5,29.5,30,29,29,29,29,28.5,29.5,28.5,29,29.5,29,27.5,28.5,28,28.5,28,28.5,30,29.5,29,29.5,29,28,29.5,29.5,30,29.5,29.5,29.5,30,30,30,30,30,29.5,29.5,30,29.5,30.5,29.5,29.5,28.5,29.5,29,29,30,29,29,29.5,28.5,29.5,29,30
2024-07-11 23:25:00,28.5,29.5,29.5,30,30,30,30,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,30,30,30,30,30,30,29.5,28,28.5,29,29,29,29,29.5,29.5,29,29.5,28.5,28.5,29,29,30,30,30,28,29.5,28,28.5,28.5,28.5,28.5,29,29,28,28.5,29,29,28.5,29.5,30,29,29,28.5,28.5,29.5,29,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,29,29.5,29,29,29,29.5,29.5,29.5,28.5,29,29,29,29,29,29,28.5,29.5,29,29.5,28.5,28,29.5,29,29.5,29,29,30,30,28.5,29.5,29,29,29,28,29,29.5,29.5,29.5,29.5,30,28.5,28.5,30,29.5,30,29.5,30,30,28,29,28.5,29,30,29.5,29,28.5,30,29.5,29.5,30,29,29,30,29.5,28,28.5,30,29.5,29,29.5,29.5,30,29,29,29,29,28.5,29.5,28.5,29,29.5,29,27.5,28.5,28,28.5,28,28.5,30,29.5,29,29.5,29,28,29.5,29.5,29.5,29.5,29.5,29.5,30,30,30,30,30,29.5,29.5,29.5,29.5,30,29.5,29.5,28.5,29.5,28.5,29,29.5,29,29,29.5,28.5,29.5,29,30
2024-07-11 23:30:00,28.5,29.5,29.5,29.5,30,30,30,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,30,30,30,30,30,30,29.5,28,28.5,29,29,29,29,29,29.5,29,29.5,28.5,28.5,29,29,29.5,30,30,28,29.5,28,28.5,28.5,28.5,28.5,29,29,28,28.5,29,29,28.5,29.5,30,29,29,28.5,28.5,29.5,29,29.5,29,29,29.5,29.5,29.5,29.5,29.5,29.5,29.5,28.5,28.5,29,29.5,29,29,29.5,29.5,29,29.5,28.5,29,29,29,29,28.5,29,28.5,29.5,29,29.5,28.5,28,29.5,29,29.5,29,28.5,30,30,28.5,30,29,29,29,28.5,29,29.5,29.5,29.5,29.5,29.5,28.5,28.5,30,29.5,30,29.5,30,30,28,29,29,29,30,29.5,29,28.5,30,29.5,29.5,30,29,29,29.5,29.5,28,28.5,30,29,29,29.5,29,30,29,29,29,29,28.5,29.5,28.5,29,29.5,29,27.5,28.5,28,28.5,28,28.5,30,29.5,29,29.5,29,28,29.5,29.5,29.5,29.5,29.5,29.5,30,30,30,30,30,29.5,29.5,29.5,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29.5,28.5,29.5,29,30
2024-07-11 23:35:00,28.5,29.5,29.5,29.5,30,30.5,29.5,29,29.5,30,30,29.5,29.5,29.5,29,28.5,30,30,29.5,30,30,30,29.5,28.5,28.5,29.5,29,29,29.5,29,29.5,29,29.5,28.5,29,29.5,29.5,29.5,29.5,30,28,29.5,28.5,28.5,28.5,28.5,28.5,29,29,28.5,29,29,29,29,29.5,29.5,29,29,28.5,29,30,29,29.5,29.5,29,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29,29,29,29.5,29,29.5,29.5,29.5,29,29.5,29,29,29,29,29,29,29,28.5,29.5,29,29.5,29,28,29.5,29.5,29.5,29,29,30,30,29,30,29,29,29,28.5,29,29.5,29.5,29.5,29.5,29.5,28.5,29,30,29.5,30,29.5,30,30,28.5,29,29,29,30,29.5,29,28.5,30,29.5,29.5,30,29,29.5,30,29.5,28.5,29,30,29,29,29.5,29,30,29,29,29,29,28.5,29.5,28.5,29,29.5,29,28,28.5,28,29,28.5,29,30.5,29.5,29,29.5,29,28.5,29.5,29.5,29.5,29.5,29.5,29.5,30,30,30,30,30,29.5,29.5,29.5,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29.5,28.5,29.5,29,30
2024-07-11 23:40:00,28.5,29.5,29.5,29.5,30,30,30,29,29.5,30,30,29.5,29.5,29.5,29,28.5,30,30,29.5,30,30,30,29.5,28.5,28.5,29.5,29,29,29.5,29,29.5,29,29.5,29,29,29.5,29.5,29.5,30,30,28.5,29.5,28.5,29,29,28.5,29,29,29,28.5,29,29,29,29,29.5,30,29,29,29,29,30,29,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29,29,29,29.5,29,29.5,29.5,29.5,29,30,29,29,29,29,29,29,29,29,29.5,29,29.5,29,28,29.5,29.5,29.5,29,29,30,30,29,30,29,29,29,29,29,29.5,29.5,29.5,29.5,29.5,29,29,30,29.5,30,29.5,30,30,28.5,29,29,29,30,29.5,29,29,30,29,29.5,30,29,29.5,29.5,29.5,29,29,29.5,29.5,29,29.5,29,30,29,29,29,29,28.5,29.5,29,29,29.5,29,28.5,29,28.5,29,28.5,29,30,29.5,29,29.5,29,28.5,29.5,29.5,29.5,29.5,29.5,29.5,30,30,30,30,30,29.5,29.5,29.5,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29.5,29,29,29,29.5
2024-07-11 23:45:00,28.5,29.5,29.5,29.5,30,30,29.5,29,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,30,29.5,29.5,30,30,30,29.5,28.5,28.5,29,29,29,29,29,29,29,29.5,29,29,29.5,29,29.5,29.5,30,28,29.5,28.5,29,29,28.5,29,29,29,28.5,29,29,29,29,29.5,29.5,29,29,28.5,29,29.5,29,29.5,29,29,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29,29,29,29.5,29,29,29.5,29.5,29,29.5,28.5,29,29.5,29,29,29,29,28.5,29.5,29,29.5,29,28.5,29.5,29.5,29.5,29,29,30,30,29,29.5,29,29,29.5,28.5,29,29.5,29.5,29.5,29.5,29.5,29,29,30,29.5,30,29.5,29.5,30,28.5,29,29,29,30,29.5,29,28.5,29.5,29,29.5,30,29,29.5,29.5,29.5,29,28.5,29.5,29.5,29,29.5,29,29.5,29,29,29,29,28.5,29.5,29,29,29,29,28,29,28.5,29,28.5,29,30,29.5,29,29.5,29,28.5,29.5,29.5,29.5,29,29.5,29.5,29.5,30,30,29.5,29.5,29.5,29.5,29.5,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29.5,29,29,29,29.5
2024-07-11 23:50:00,28.5,29.5,29.5,29.5,30,29.5,29.5,29,29.5,29.5,29.5,29.5,29.5,29,29,28.5,30,29.5,29.5,29.5,29.5,30,29.5,28.5,28.5,29,29,29,29,29,29,29,29.5,29,28.5,29,29,29,29.5,29.5,28,29.5,28.5,28.5,28.5,28,29,29,29,28.5,28.5,29,29,29,29.5,29.5,28.5,29,28.5,28.5,29.5,29,29.5,29,29,29.5,29.5,29,29,29,29.5,29.5,28.5,29,29,29.5,29,29,29,29.5,29,29.5,28.5,29,29.5,29,29,29,29,28.5,29.5,29,29.5,29,28.5,29.5,29.5,29.5,29,29,30,29.5,29,29.5,29,29,29,28.5,29,29.5,29.5,29.5,29.5,29.5,28.5,29,30,29.5,29.5,29.5,29.5,30,28.5,29,29,29,29.5,29,29,28.5,29.5,29,29,29.5,29,29,29.5,29.5,29,28.5,29.5,29,29,29.5,29,29.5,29,29,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29.5,29,29,29.5,29,28.5,29,29.5,29.5,29,29.5,29.5,29.5,30,30,29.5,29.5,29.5,29.5,29,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29.5,29,29,29,29.5
2024-07-11 23:55:00,28.5,29.5,29.5,29.5,30,29.5,29.5,29,29,29.5,29.5,29.5,29.5,29,29,28.5,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,28.5,29,29,29,29,29,29,29,29.5,28.5,28.5,29,29,29,29.5,29.5,28,29,28.5,28.5,28.5,28,29,29,29,28.5,28.5,29,29,29,29.5,29.5,28.5,29,28.5,28.5,29.5,29,29.5,29,29,29,29.5,29,29,29,29.5,29.5,28.5,28.5,29,29.5,28.5,29,29,29.5,29,29,28.5,29,29,29,29,29,29,28.5,29.5,29,29.5,29,28.5,29,29.5,29.5,29,29,29.5,29.5,29,29.5,29,29,29,28.5,29,29.5,29.5,29.5,29,29.5,28.5,29,29.5,29.5,29.5,29.5,29.5,30,28.5,29,29,29,29.5,29,29,28.5,29.5,29,29,29.5,29,29,29.5,29.5,28.5,28.5,29.5,29,29,29.5,29,29.5,29,29,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29.5,29,29,29,29,28.5,29,29.5,29.5,29,29.5,29.5,29,29.5,30,29.5,29.5,29.5,29.5,29,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29.5,29,29,29,29.5
2024-07-12,28.5,29,29.5,29.5,29.5,29.5,29.5,29,29,29.5,29,29.5,29.5,29,29,28.5,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,28.5,29,29,29,29,29,29,29,29.5,28.5,28.5,29,29,29,29.5,29.5,28,29,28.5,28.5,28.5,28,29,29,29,28.5,28.5,29,29,28.5,29.5,29.5,28.5,29,28.5,28.5,29.5,28.5,29.5,29,29,29,29.5,29,29,29,29.5,29.5,28.5,28.5,28.5,29.5,28.5,29,29,29,29,29,28.5,29,29,29,29,29,29,28.5,29,29,29.5,29,28.5,29,29.5,29.5,29,29,29.5,29.5,29,29.5,29,29,29,28.5,28.5,29.5,29.5,29.5,29,29.5,28.5,29,29.5,29.5,29.5,29.5,29.5,30,28.5,29,29,28.5,29.5,29,29,28.5,29.5,29,29,29.5,28.5,29,29.5,29,29,28.5,29.5,29,29,29.5,29,29.5,28.5,28.5,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29.5,29,29,29,29,28.5,29,29.5,29,29,29,29.5,29,29.5,30,29.5,29,29.5,29.5,29,29.5,30,29.5,29.5,29,29.5,29,29,29.5,29,29,29,29,29,29,29.5
2024-07-12 00:05:00,28.5,29,29.5,29.5,29.5,29.5,29.5,29,29,29.5,29,29,29.5,29,29,28.5,29.5,29.5,29.5,29.5,29.5,29.5,29,28.5,28.5,28.5,29,29,29,29,29,29,29.5,28.5,28.5,29,29,29,29.5,29.5,28,29,28,28.5,28.5,28,29,29,29,28.5,28.5,28.5,29,28.5,29.5,29.5,28.5,29,28.5,28.5,29,28.5,29.5,28.5,29,29,29,29,29,29,29.5,29,28.5,28.5,28.5,29.5,28.5,28.5,29,29,28.5,29,28.5,29,29,29,29,29,29,28.5,29,29,29.5,29,28.5,29,29.5,29.5,29,29,29.5,29.5,29,29.5,29,29,29,28.5,28.5,29,29,29,29,29,28.5,29,29.5,29.5,29.5,29.5,29,30,28.5,28.5,29,28.5,29.5,29,29,28.5,29.5,29,29,29.5,28.5,29,29.5,29,28.5,28.5,29.5,29,29,29,29,29.5,28.5,28.5,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29.5,29,29,29,29,28.5,29,29.5,29,29,29,29,29,29.5,30,29,29,29,29,29,29.5,29.5,29.5,29,29,29.5,29,29,29.5,29,29,29,29,29,28.5,29.5
2024-07-12 00:10:00,28.5,29,29.5,29.5,29.5,29.5,29.5,29,29,29.5,29,29,29,28.5,29,28.5,29.5,29,29,29.5,29.5,29.5,29,28.5,28.5,28.5,29,29,29,29,29,29,29.5,28.5,28.5,29,29,29,29.5,29.5,28,29,28,28.5,28.5,28,29,29,29,28.5,28.5,28.5,29,28.5,29.5,29,28.5,29,28.5,28.5,29,28.5,29,28.5,29,29,29,29,29,29,29,29,28.5,28.5,28.5,29,28.5,28.5,28.5,29,28.5,29,28.5,29,29,29,28.5,29,29,28.5,29,29,29,29,28.5,29,29,29.5,29,28.5,29.5,29.5,29,29.5,29,29,29,28.5,28.5,29,29,29,29,29,28.5,28.5,29.5,29.5,29.5,29,29,29.5,28.5,28.5,29,28.5,29,29,29,28.5,29.5,29,29,29.5,28.5,28.5,29.5,29,29,28.5,29.5,29,29,29,29,29.5,28.5,28.5,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29.5,29,29,29,29,28.5,29,29,29,28.5,29,29,29,29.5,29.5,29,29,29,29,29,29.5,29.5,29.5,29,29,29,29,29,29.5,29,28.5,29,29,29,28.5,29.5
2024-07-12 00:15:00,28.5,29,29.5,29.5,29.5,29,29.5,29,29,29.5,29,29,29,28.5,29,28.5,29.5,29,29,29,29.5,29.5,29,28.5,28.5,28.5,29,29,29,29,29,29,29.5,28.5,28.5,29,29,29,29,29.5,28,29,28,28.5,28.5,28,29,29,29,28.5,28.5,28.5,29,28.5,29,29,28.5,29,28.5,28.5,29,28.5,29,28.5,29,29,29,29,28.5,28.5,29,29,28.5,28.5,28.5,29,28.5,28.5,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,28.5,28.5,29,29,29,29,28.5,29,29,29,29,28.5,29.5,29.5,29,29,29,29,29,28.5,28.5,29,29,29,29,29,28.5,28.5,29.5,29.5,29,29,29,29.5,28.5,28.5,29,28.5,29,29,29,28.5,29.5,29,29,29,28.5,28.5,29,29,28.5,28.5,29.5,29,28.5,29,28.5,29,28.5,28.5,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29.5,29,29,29,29,28.5,28.5,29,29,28.5,29,29,29,29.5,29.5,29,29,29,29,29,29.5,29.5,29.5,29,29,29,29,29,29.5,29,28.5,29,29,29,28.5,29.5
2024-07-12 00:20:00,28.5,29,29.5,29,29.5,29,29.5,29,29,29.5,29,29,29,28.5,29,28.5,29.5,29,29,29,29.5,29.5,29,28.5,28.5,28.5,29,28.5,29,29,29,29,29.5,28.5,28.5,29,28.5,29,29,29,28,29,28,28.5,28.5,28,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,29,29,28.5,28.5,28.5,28.5,29,28.5,29,28.5,28.5,29,29,29,28.5,28.5,29,29,28.5,28.5,28.5,29,28.5,28.5,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,28.5,28.5,29,29,29,29,28.5,29,29,29,29,28.5,29.5,29.5,29,29,29,28.5,29,28.5,28.5,29,29,29,29,29,28.5,28.5,29.5,29,29,29,29,29.5,28.5,28.5,29,28.5,29,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,29,28.5,28.5,29,29,28.5,29,28.5,29,28.5,28.5,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28.5,29,29,29,29,28.5,28,28.5,29,29,28.5,29,29,28.5,29.5,29.5,29,29,29,29,28.5,29,29.5,29.5,29,29,29,29,29,29,29,28.5,29,29,29,28.5,29
2024-07-12 00:25:00,28.5,29,29.5,29,29.5,29,29,29,28.5,29.5,29,29,29,28.5,29,28,29.5,29,29,29,29.5,29.5,29,28.5,28.5,28.5,29,28.5,28.5,29,29,28.5,29,28.5,28.5,29,28.5,29,29,29,28,29,28,28.5,28.5,28,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,29,29,28.5,28.5,28.5,28.5,29,28.5,29,28.5,28.5,28.5,29,28.5,28.5,28.5,29,29,28.5,28.5,28.5,29,28,28.5,28.5,29,28.5,28.5,28.5,28.5,29,28.5,28.5,29,28.5,28.5,29,29,29,29,28.5,29,29,29,29,28.5,29,29,29,29,29,28.5,29,28.5,28.5,29,29,29,28.5,29,28.5,28.5,29.5,29,29,29,29,29.5,28.5,28.5,28.5,28.5,29,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,29,28.5,28,29,28.5,28.5,29,28.5,29,28.5,28.5,29,29,28.5,29,29,28.5,29,29,28,29,28.5,28.5,28.5,28,29,29,29,29,29,28,28.5,29,29,28.5,29,29,28.5,29.5,29.5,29,29,29,29,28.5,29,29.5,29,29,29,29,29,29,29,29,28.5,29,28.5,29,28.5,29
2024-07-12 00:30:00,28.5,29,29.5,29,29.5,29,29,29,28.5,29,28.5,29,29,28.5,28.5,28,29.5,29,29,29,29,29,29,28.5,28.5,28.5,29,28.5,28.5,29,28.5,28.5,29,28.5,28.5,29,28.5,29,29,29,28,29,28,28.5,28,28,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,29,29,28,28.5,28.5,28.5,29,28.5,29,28.5,28.5,28.5,29,28.5,28.5,28.5,29,29,28.5,28.5,28.5,29,28,28.5,28.5,29,28.5,28.5,28.5,28.5,29,28.5,28.5,29,28.5,28.5,29,29,29,28.5,28,29,29,29,29,28.5,29,29,29,29,29,28.5,29,28.5,28.5,29,29,29,28.5,29,28.5,28.5,29,29,29,29,29,29.5,28.5,28.5,28.5,28.5,29,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,29,28.5,28,29,28.5,28.5,29,28.5,29,28.5,28.5,28.5,29,28.5,29,29,28,28.5,28.5,28,29,28.5,28.5,28.5,28,29,29,29,29,28.5,28,28.5,29,29,28.5,29,29,28.5,29.5,29.5,29,29,29,29,28.5,29,29.5,29,29,28.5,29,28.5,29,29,28.5,28.5,29,28.5,29,28.5,29
2024-07-12 00:35:00,28.5,29,29,29,29.5,29,29,29,28.5,29,28.5,29,29,28.5,28.5,28,29,29,29,29,29,29,29,28,28,28.5,29,28.5,28.5,28.5,28.5,28.5,29,28.5,28.5,28.5,28.5,29,29,29,28,28.5,28,28.5,28,28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,29,29,28,28.5,28.5,28.5,29,28,29,28.5,28.5,28.5,28.5,28.5,28.5,28.5,29,29,28.5,28.5,28.5,29,28,28.5,28.5,29,28.5,28.5,28,28.5,29,28.5,28.5,29,28.5,28.5,29,29,29,28.5,28,29,29,29,29,28.5,29,29,28.5,29,28.5,28.5,29,28.5,28.5,29,29,29,28.5,29,28.5,28.5,29,29,29,29,29,29.5,28,28.5,28.5,28.5,29,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,28.5,28.5,28,29,28.5,28.5,29,28.5,29,28,28.5,28.5,29,28.5,28.5,29,28,28.5,28.5,28,28.5,28.5,28,28.5,28,29,29,29,29,28.5,28,28.5,29,29,28.5,28.5,29,28.5,29.5,29.5,29,29,29,29,28.5,29,29,29,29,28.5,29,28.5,29,29,28.5,28.5,29,28.5,28.5,28.5,29
2024-07-12 00:40:00,28.5,29,29,29,29,29,29,28.5,28.5,29,28.5,29,29,28,28.5,28,29,29,29,29,29,29,29,28,28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,29,29,28,28.5,28,28.5,28,27.5,28.5,28.5,28.5,28,28.5,28.5,28.5,28.5,29,28.5,28,28.5,28.5,28.5,28.5,28,28.5,28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,29,28.5,28.5,28.5,28.5,28,28,28.5,29,28.5,28.5,28,28.5,28.5,28.5,28.5,29,28.5,28.5,29,29,29,28.5,28,29,29,29,29,28.5,29,29,28.5,29,28.5,28.5,28.5,28.5,28.5,28.5,29,28.5,28.5,28.5,28,28.5,29,29,29,28.5,28.5,29.5,28,28.5,28.5,28.5,28.5,28.5,29,28.5,29,28.5,28.5,29,28.5,28.5,29,28.5,28.5,28,29,28.5,28.5,29,28.5,29,28,28,28.5,29,28.5,28.5,29,28,28.5,28.5,28,29,28.5,28,28.5,28,29,28.5,29,28.5,28.5,28,28.5,29,29,28.5,28.5,29,28.5,29,29.5,29,28.5,28.5,29,28.5,29,29,29,29,28.5,29,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,28.5,29
2024-07-12 00:45:00,28.5,28.5,29,29,29,29,29,28.5,28.5,29,28.5,29,28.5,28,28.5,28,29,29,29,29,29,29,29,28,28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,29,29,28,28.5,28,28.5,28,27.5,28.5,28.5,28.5,28,28.5,28.5,28.5,28.5,29,28.5,28,28.5,28,28.5,28.5,28,28.5,28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28,28.5,28,28.5,28,28,28.5,29,28,28.5,28,28.5,28.5,28.5,28.5,29,28.5,28.5,28.5,29,29,28.5,28,29,29,29,29,28.5,29,29,28.5,29,28.5,28.5,28.5,28,28.5,28.5,29,28.5,28.5,28.5,28,28.5,29,29,28.5,28.5,28.5,29.5,28,28.5,28.5,28.5,28.5,28.5,29,28,29,28.5,28.5,29,28.5,28,28.5,28.5,28.5,28,29,28.5,28.5,28.5,28.5,28.5,28,28,28.5,28.5,28.5,28.5,28.5,28,28.5,28.5,27.5,28.5,28,28,28.5,28,29,28.5,29,28.5,28.5,28,28.5,29,29,28.5,28.5,29,28.5,29,29,29,28.5,28.5,28.5,28.5,29,29,29,29,28.5,29,28.5,28.5,29,28.5,28.5,28.5,28.5,28.5,28.5,29
